,store_id,product_id,date,unit
0,15,192,2016-02-28,1
1,15,203,2016-02-28,1
2,15,107,2016-02-28,1
3,15,97,2016-02-28,1
4,15,271,2016-02-28,1
5,15,95,2016-02-28,1
6,15,230,2016-02-28,1
7,15,127,2016-02-28,1
8,15,175,2016-02-28,1
9,15,119,2016-02-28,1
10,15,222,2016-02-28,1
11,15,268,2016-02-28,1
12,15,204,2016-02-28,1
13,15,182,2016-02-28,1
14,15,2,2016-02-28,1
15,15,125,2016-02-28,1
16,15,39,2016-02-28,1
18,30,252,2016-02-28,1
19,30,131,2016-02-28,2
20,30,4,2016-02-28,1
21,30,42,2016-02-28,1
22,30,55,2016-02-28,1
23,30,21,2016-02-28,1
24,30,48,2016-02-28,1
25,30,211,2016-02-28,1
26,30,199,2016-02-28,1
27,30,187,2016-02-28,1
28,30,98,2016-02-28,1
29,30,37,2016-02-28,1
30,30,163,2016-02-28,1
31,30,132,2016-02-28,1
32,30,248,2016-02-28,1
33,30,234,2016-02-28,1
34,30,228,2016-02-28,2
35,30,2,2016-02-28,6
36,30,189,2016-02-28,2
37,30,183,2016-02-28,1
38,45,276,2016-02-28,2
39,45,198,2016-02-28,1
40,45,29,2016-02-28,1
41,45,62,2016-02-28,1
42,45,102,2016-02-28,1
43,45,56,2016-02-28,1
44,45,279,2016-02-28,1
45,45,230,2016-02-28,2
46,45,2,2016-02-28,2
47,45,1,2016-02-28,1
48,60,13,2016-02-28,1
49,60,17,2016-02-28,1
50,60,271,2016-02-28,1
51,60,120,2016-02-28,1
52,60,279,2016-02-28,1
53,60,23,2016-02-28,1
54,60,118,2016-02-28,1
55,60,122,2016-02-28,1
56,75,55,2016-02-28,1
57,75,103,2016-02-28,1
58,75,72,2016-02-28,1
59,75,13,2016-02-28,1
60,75,104,2016-02-28,1
61,75,56,2016-02-28,1
62,75,320,2016-02-28,2
63,75,106,2016-02-28,1
64,75,136,2016-02-28,1
65,75,234,2016-02-28,1
66,90,148,2016-02-28,1
67,90,252,2016-02-28,1
68,90,4,2016-02-28,2
69,90,49,2016-02-28,1
70,90,104,2016-02-28,1
71,90,215,2016-02-28,1
72,90,123,2016-02-28,1
73,90,321,2016-02-28,1
74,90,20,2016-02-28,1
75,15,4,2016-02-29,1
76,15,21,2016-02-29,1
77,15,29,2016-02-29,2
78,15,173,2016-02-29,1
79,15,279,2016-02-29,1
80,15,119,2016-02-29,1
81,15,219,2016-02-29,1
82,15,132,2016-02-29,1
83,15,70,2016-02-29,1
84,15,123,2016-02-29,1
85,15,262,2016-02-29,1
86,15,164,2016-02-29,1
87,15,284,2016-02-29,1
89,30,4,2016-02-29,2
90,30,288,2016-02-29,1
91,30,231,2016-02-29,1
92,30,160,2016-02-29,1
93,30,66,2016-02-29,1
94,30,199,2016-02-29,1
95,30,150,2016-02-29,1
96,30,49,2016-02-29,1
97,30,194,2016-02-29,1
98,30,147,2016-02-29,1
99,30,120,2016-02-29,2
100,30,56,2016-02-29,1
101,30,157,2016-02-29,1
102,30,320,2016-02-29,1
103,30,5,2016-02-29,1
104,30,280,2016-02-29,1
105,30,136,2016-02-29,1
106,30,123,2016-02-29,1
107,30,262,2016-02-29,1
108,30,234,2016-02-29,2
109,30,228,2016-02-29,1
110,30,12,2016-02-29,1
111,30,2,2016-02-29,5
112,30,84,2016-02-29,1
113,30,63,2016-02-29,1
114,30,183,2016-02-29,1
116,45,148,2016-02-29,1
117,45,4,2016-02-29,1
118,45,66,2016-02-29,1
119,45,55,2016-02-29,1
120,45,21,2016-02-29,4
121,45,29,2016-02-29,3
122,45,13,2016-02-29,1
123,45,24,2016-02-29,1
124,45,255,2016-02-29,1
125,45,70,2016-02-29,1
127,60,26,2016-02-29,1
128,60,232,2016-02-29,1
129,60,77,2016-02-29,2
130,60,192,2016-02-29,1
131,60,288,2016-02-29,2
132,60,42,2016-02-29,1
133,60,246,2016-02-29,1
134,60,29,2016-02-29,1
135,60,49,2016-02-29,2
136,60,18,2016-02-29,1
137,60,57,2016-02-29,1
138,60,116,2016-02-29,1
139,60,161,2016-02-29,1
140,60,34,2016-02-29,1
141,60,136,2016-02-29,1
142,60,268,2016-02-29,1
143,60,262,2016-02-29,1
144,60,321,2016-02-29,2
145,60,182,2016-02-29,1
146,60,2,2016-02-29,2
147,75,101,2016-02-29,1
148,75,28,2016-02-29,1
149,75,199,2016-02-29,1
150,75,72,2016-02-29,1
151,75,49,2016-02-29,1
152,75,165,2016-02-29,1
153,75,30,2016-02-29,1
154,75,236,2016-02-29,1
155,75,320,2016-02-29,1
156,75,34,2016-02-29,1
